Zaman damgası,Hoca seç,Dersi ne kadar güzel anlatır?,Dersini geçmek ne kadar kolaydır?,Dersi ne kadar iyi öğretir?,Dersi ne kadar eğlenceli anlatır?
23.04.2024 20:20:56,Doç. Dr. Gökhan Bilgin,1.0,3.0,1.0,1.0
23.04.2024 20:21:22,Dr. Yunus Emre Selçuk,1.0,6.0,1.0,5.0
02.05.2024 14:54:42,Prof. Dr. Banu Diri,9.0,9.0,10.0,4.0
02.05.2024 14:55:06,Doç. Dr. Hamza Osman İlhan,5.0,2.0,5.0,1.0
02.05.2024 14:55:35,Dr. Oğuz Altun,2.0,8.0,5.0,1.0
02.05.2024 14:55:57,Arş. Grv. Sultan Sevgi TURGUT,10.0,10.0,10.0,10.0
02.06.2024 21:31:51,Dr. Ahmet Elbir,9.0,10.0,9.0,8.0
02.06.2024 21:32:11,Dr. Ayşe Dalgalı,3.0,8.0,3.0,2.0
02.06.2024 21:32:24,Prof. Dr. M. Fatih Amasyalı,10.0,10.0,10.0,10.0
02.06.2024 22:38:06,Dr. Ayşe Dalgalı,2.0,10.0,2.0,5.0
12.06.2024 22:01:30,Dr. Ayşe Dalgalı,1.0,10.0,1.0,5.0
03.07.2024 14:57:57,Arş. Grv. Hatice ERDİRİK,8.0,6.0,8.0,8.0
09.09.2024 14:42:36,Prof. Dr. M. Elif Karslıgil,10.0,5.0,8.0,9.0
09.09.2024 14:43:08,Prof. Dr. Songül Varlı,10.0,8.0,10.0,8.0
09.09.2024 14:43:30,Doç. Dr. Gökhan Bilgin,10.0,7.0,10.0,10.0
13.11.2024 14:23:43,Dr. Yunus Emre Selçuk,5.0,4.0,6.0,7.0
13.11.2024 14:24:27,Dr. Furkan Çakmak,10.0,6.0,9.0,6.0
15.11.2024 16:38:48,Arş. Grv. Muhammed Enes ÖZELBAŞ,5.0,7.0,7.0,2.0
13.01.2025 10:40:38,Prof. Dr. Banu Diri,10.0,9.0,9.0,10.0
13.01.2025 10:42:20,Dr. Ziya Cihan Tayşi,1.0,1.0,1.0,1.0
26.01.2025 12:19:48,Doç. Dr. M. Amaç Güvensan,6.0,5.0,6.0,3.0
26.01.2025 12:20:35,Dr. Göksel Biricik,9.0,7.0,9.0,9.0
26.01.2025 12:29:45,Prof. Dr. Banu Diri,5.0,1.0,1.0,1.0
26.01.2025 12:30:00,Doç. Dr. M. Amaç Güvensan,8.0,5.0,10.0,8.0
26.01.2025 12:30:04,Doç. Dr. Hamza Osman İlhan,1.0,5.0,1.0,1.0
26.01.2025 12:30:21,Arş. Grv. Kübra ADALI,1.0,1.0,1.0,1.0
26.01.2025 12:30:45,Dr. Oğuz Altun,1.0,1.0,1.0,1.0
26.01.2025 12:30:48,Doç. Dr. M. Amaç Güvensan,10.0,6.0,10.0,10.0
26.01.2025 12:31:06,Dr. Göksel Biricik,8.0,6.0,9.0,7.0
26.01.2025 12:31:07,Dr. H. İrem Türkmen,3.0,2.0,2.0,3.0
26.01.2025 12:33:28,Dr. H. İrem Türkmen,3.0,4.0,2.0,2.0
26.01.2025 12:36:06,Dr. Furkan Çakmak,1.0,1.0,1.0,1.0
26.01.2025 12:42:25,Prof. Dr. Banu Diri,5.0,2.0,4.0,8.0
26.01.2025 12:42:51,Prof. Dr. M. Fatih Amasyalı,7.0,7.0,7.0,5.0
26.01.2025 12:43:23,Doç. Dr. Hamza Osman İlhan,6.0,3.0,5.0,1.0
26.01.2025 12:43:49,Dr. Ayşe Dalgalı,2.0,9.0,2.0,6.0
26.01.2025 12:44:19,Dr. H. İrem Türkmen,2.0,6.0,2.0,5.0
26.01.2025 12:44:51,Dr. Yunus Emre Selçuk,5.0,6.0,4.0,4.0
26.01.2025 12:46:14,Arş. Grv. Burak Ahmet ÖZDEN,9.0,9.0,9.0,9.0
26.01.2025 12:47:58,Prof. Dr. Banu Diri,4.0,7.0,3.0,1.0
26.01.2025 12:53:30,Dr. Göksel Biricik,1.0,1.0,1.0,1.0
26.01.2025 12:54:12,Arş. Grv. Mustafa Mert KARA,1.0,1.0,1.0,1.0
26.01.2025 12:54:41,Arş. Grv. Muzaffer Kaan YÜCE,1.0,1.0,1.0,1.0
26.01.2025 12:55:43,Arş. Grv. Sultan Sevgi TURGUT,1.0,1.0,1.0,1.0
26.01.2025 13:02:32,Doç. Dr. M. Amaç Güvensan,8.0,2.0,8.0,8.0
26.01.2025 13:09:46,Doç. Dr. Hamza Osman İlhan,2.0,5.0,1.0,1.0
26.01.2025 13:10:12,Arş. Grv. Emre PARLAK,10.0,10.0,10.0,10.0
26.01.2025 13:10:29,Doç. Dr. M. Amaç Güvensan,10.0,4.0,10.0,8.0
26.01.2025 13:10:45,Dr. Furkan Çakmak,10.0,7.0,8.0,6.0
26.01.2025 13:12:26,Doç. Dr. Hamza Osman İlhan,3.0,3.0,3.0,3.0
26.01.2025 13:12:40,Prof. Dr. M. Fatih Amasyalı,9.0,7.0,10.0,10.0
26.01.2025 13:12:59,Dr. Ahmet Elbir,7.0,7.0,8.0,6.0
26.01.2025 13:13:30,Dr. Furkan Çakmak,8.0,8.0,8.0,10.0
26.01.2025 13:25:38,Prof. Dr. Banu Diri,1.0,5.0,1.0,1.0
26.01.2025 13:26:05,Doç. Dr. Gökhan Bilgin,3.0,5.0,3.0,1.0
26.01.2025 13:26:22,Dr. Ayşe Dalgalı,1.0,5.0,1.0,1.0
