Zaman damgası,Ders Seç,Dersi geçmek ne kadar kolay?,Ders mesleki açıdan gerekli mi?
16.02.2024 20:15:12,Veri Yapıları ve Algoritmalar,3.0,10.0
16.02.2024 20:15:32,Yapay Zeka,6.0,9.0
16.02.2024 20:15:47,Yapısal Programlamaya Giriş,6.0,6.0
16.02.2024 20:15:59,Yapısal Programlama,4.0,9.0
16.02.2024 20:16:18,Yazılım Mühendisliği,7.0,7.0
22.02.2024 00:30:54,Bilgisayar Bilimlerine Giriş,1.0,10.0
01.03.2024 00:13:04,Yapay Zeka,6.0,10.0
01.03.2024 00:13:26,Biyoenformatiğe Giriş,9.0,2.0
01.03.2024 06:30:22,Ayrık Matematik,9.0,9.0
01.03.2024 09:10:50,Bilgisayar Bilimlerine Giriş,5.0,10.0
01.03.2024 09:11:12,İstatistik ve Olasılık Hesapları,2.0,3.0
01.03.2024 09:11:34,Devre Teorisi,2.0,1.0
01.03.2024 13:57:10,Ağ Teknolojileri,5.0,10.0
01.03.2024 13:57:24,Türkçe 2,10.0,1.0
01.03.2024 13:57:34,Türkçe 1,10.0,1.0
01.03.2024 16:24:18,Mikroişlemci Sistemleri ve Assembly Dili,2.0,8.0
15.03.2024 12:40:46,Nesneye Dayalı Tasarım ve Modelleme,10.0,10.0
15.03.2024 12:45:41,Yapısal Programlamaya Giriş,5.0,10.0
18.03.2024 10:20:55,Algoritma Analizi,4.0,9.0
26.03.2024 12:44:54,Bilgisayar Bilimlerine Giriş,6.0,10.0
31.03.2024 12:08:54,Bilgisayar Organizasyonu,3.0,3.0
12.04.2024 15:59:27,Bilgisayar Bilimlerine Giriş,7.0,8.0
,,,
14.04.2024 15:08:10,Büyük Veri İşleme Ve Analizi,1.0,6.0
19.04.2024 23:01:10,Devre Teorisi ve Elektronik Devreler,6.0,4.0
19.04.2024 23:01:45,Bilgisayar Bilimlerine Giriş,7.0,10.0
19.04.2024 23:02:19,Lineer Cebir,9.0,7.0
19.04.2024 23:07:53,Devre Teorisi ve Elektronik Devreler,5.0,4.0
19.04.2024 23:08:12,Sayısal Analiz,7.0,8.0
19.04.2024 23:08:24,Bilgisayar Bilimlerine Giriş,6.0,10.0
19.04.2024 23:46:44,Biyoenformatiğe Giriş,10.0,3.0
20.04.2024 11:55:59,İleri Algoritma Analizi Ve Tasarımı,10.0,10.0
20.04.2024 16:23:54,Biyoenformatiğe Giriş,10.0,1.0
20.04.2024 20:01:47,Yazılım Mühendisliği,5.0,9.0
05.05.2024 22:13:23,Bilgisayar Donanımı,3.0,1.0
12.05.2024 23:53:13,Bilgisayar Bilimlerine Giriş,10.0,1.0
12.05.2024 23:53:32,Devre Teorisi,10.0,1.0
15.05.2024 09:53:09,Yapısal Programlama,6.0,10.0
26.05.2024 19:44:48,Bilgisayar Organizasyonu,4.0,2.0
29.05.2024 09:00:24,Bilgisayar Organizasyonu,1.0,4.0
29.05.2024 09:01:07,Bilgisayar Organizasyonu,1.0,1.0
